Title,Author,Description,Category,Published Date,Page Count,Language,Average Rating,Preview Link,Thumbnail
The Golden Ball and Other Stories,Agatha Christie,"A sterling collection of short stories featuring Poirot and others, The Golden Ball and Other Stories is a riveting compendium of shocking secrets, dastardly crimes, and brilliant detection?a showcase of Dame Agatha at her very best.",Fiction,1987,260,en,No rating,http://books.google.co.in/books?id=ZOMOe5CIPu8C&dq=subject:mystery&hl=&cd=14&source=gbs_api,http://books.google.com/books/content?id=ZOMOe5CIPu8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Mirror Crack'd from Side to Side,Agatha Christie,"Volume 63 in the Agatha Christie Collection (1962) Limited edition of 1000 copies worldwide One minute, silly Heather Badcock had been gabbling on at her movie idol, the glamorous Marina Gregg. The next, Heather suffered a massive seizure. But for whom was the deadly poison really intended? Marina's frozen expression suggested she had witnessed something horrific. But, while others searched for material evidence, Miss Marple conducted a very different investigation -- into human nature.",Fiction,1962,264,en,5,http://books.google.co.in/books?id=bnpOAAAAMAAJ&dq=subject:mystery&hl=&cd=15&source=gbs_api,http://books.google.com/books/content?id=bnpOAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Endless Night,Agatha Christie,"""When penniless Michael Rogers discovers the beautiful house at Gipsy's Acre and then meets the heiress Ellie, it seems that all his dreams have come true at once. But he ignores an old woman's warning of an ancient curse, and evil begins to stir in paradise. As Michael soon lears: Gipysy's Acre is the place where fatal 'accidents' happen.""--Publisher description.",Avarice,2012-04,0,en,No rating,http://books.google.co.in/books?id=jxaZpwAACAAJ&dq=subject:mystery&hl=&cd=16&source=gbs_api,http://books.google.com/books/content?id=jxaZpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Unexpected Guest,"Agatha Christie, Charles Osborne","Michael Starkwedder crashes his car and, after finding a dead man and a woman with a smoking gun in the nearest house while searching for help, discovers that not everything is as it seems.--",Fiction,2000,220,en,No rating,http://books.google.co.in/books?id=v9tcq5fAy9kC&dq=subject:mystery&hl=&cd=17&source=gbs_api,http://books.google.com/books/content?id=v9tcq5fAy9kC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Evil Under the Sun,Agatha Christie,"The Queen of Mystery has come to Harper Collins! Agatha Christie, the acknowledged mistress of suspense—creator of indomitable sleuth Miss Marple, meticulous Belgian detective Hercule Poirot, and so many other unforgettable characters—brings her entire oeuvre of ingenious whodunits, locked room mysteries, and perplexing puzzles to Harper Paperbacks. The classic Evil Under the Sun, one of the most famous of Christie’s Poirot investigations, has the fastidious sleuth on the trail of the killer of a sun-bronzed beauty whose death brings some rather shocking secrets into the light.",Fiction,1941,282,en,No rating,http://books.google.co.in/books?id=JzqaAAAAIAAJ&dq=subject:mystery&hl=&cd=18&source=gbs_api,http://books.google.com/books/content?id=JzqaAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
An Overdose of Death,Agatha Christie,No description available,Fiction,1978,196,en,No rating,http://books.google.co.in/books?id=3B4VC3B225EC&dq=subject:mystery&hl=&cd=19&source=gbs_api,http://books.google.com/books/content?id=3B4VC3B225EC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The A.B.C. Murders,Agatha Christie,"A is for Ascher, cudgeled in Andover. B is for Barnard, strangled in Bexhill. C is for Clarke, struck down in Churston. Beside each body is an A.B.C. Railway guide; before each murder Hercule Poirot is notified. In one of Christie's most twisted tales, the meticulous Belgian sleuth must navigate the eerie maze of a serial killer's mind. D is for Doncaster, where the next victim dies... E is for evidence, ingeniously analyzed.",Fiction,1936,252,en,4.5,http://books.google.co.in/books?id=rkc0_G_ULg4C&dq=subject:mystery&hl=&cd=20&source=gbs_api,http://books.google.com/books/content?id=rkc0_G_ULg4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
What Mrs. McGillicuddy Saw!,Agatha Christie,Witness to murder on a train.,Fiction,1957,264,en,No rating,http://books.google.co.in/books?id=qpjRd1v0eNYC&dq=subject:mystery&hl=&cd=21&source=gbs_api,http://books.google.com/books/content?id=qpjRd1v0eNYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Cards on the Table,Agatha Christie,Theatre program.,Fiction,1993,228,en,No rating,http://books.google.co.in/books?id=NGoFudTo7YsC&dq=subject:mystery&hl=&cd=22&source=gbs_api,http://books.google.com/books/content?id=NGoFudTo7YsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Hercule Poirot's Christmas,Agatha Christie,"Christmas Eve, and the Lee family¿s reunion is shattered by a deafening crash of furniture and a high-pitched wailing scream. Upstairs, the tyrannical Simeon Lee lies dead in a pool of blood, histhroat slashed. When Hercule Poirot offers to assist, he finds an atmosphere not of mourning but of mutual suspicion. It seems everyone had their own reason to hatethe old man. . . .",Fiction,1987,384,en,No rating,http://books.google.co.in/books?id=PDtbAAAACAAJ&dq=subject:mystery&hl=&cd=23&source=gbs_api,http://books.google.com/books/content?id=PDtbAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
